codigo_comuna,comuna,sexo,anos_de_escolaridad_promedio_para_la_poblacion_de_18_anos_o_mas
8309,Quilleco,Hombre,9.8
8309,Quilleco,Mujer,10.1
8310,San Rosendo,Hombre,10.8
8310,San Rosendo,Mujer,10.8
8311,Santa Bárbara,Hombre,10.1
8311,Santa Bárbara,Mujer,10.4
8312,Tucapel,Hombre,10.5
8312,Tucapel,Mujer,10.7
8313,Yumbel,Hombre,10.3
8313,Yumbel,Mujer,10.4
8314,Alto Biobío,Hombre,8.4
8314,Alto Biobío,Mujer,8.5
9101,Temuco,Hombre,12.9
9101,Temuco,Mujer,12.9
9102,Carahue,Hombre,9.4
9102,Carahue,Mujer,9.8
9103,Cunco,Hombre,10.2
9103,Cunco,Mujer,10.5
9104,Curarrehue,Hombre,9.5
9104,Curarrehue,Mujer,9.8
9105,Freire,Hombre,10
9105,Freire,Mujer,10
9106,Galvarino,Hombre,9.2
9106,Galvarino,Mujer,9.2
9107,Gorbea,Hombre,10.3
9107,Gorbea,Mujer,10.5
9108,Lautaro,Hombre,10.9
9108,Lautaro,Mujer,11
9109,Loncoche,Hombre,10.4
9109,Loncoche,Mujer,10.4
9110,Melipeuco,Hombre,10.1
9110,Melipeuco,Mujer,10.4
9111,Nueva Imperial,Hombre,10.1
9111,Nueva Imperial,Mujer,10.5
9112,Padre Las Casas,Hombre,11
9112,Padre Las Casas,Mujer,11
9113,Perquenco,Hombre,10.1
9113,Perquenco,Mujer,10.2
9114,Pitrufquén,Hombre,10.8
9114,Pitrufquén,Mujer,11.1
9115,Pucón,Hombre,12
9115,Pucón,Mujer,12.1
9116,Saavedra,Hombre,9.1
9116,Saavedra,Mujer,9.3
9117,Teodoro Schmidt,Hombre,9.3
9117,Teodoro Schmidt,Mujer,9.5
9118,Toltén,Hombre,9.5
9118,Toltén,Mujer,9.8
9119,Vilcún,Hombre,10.6
9119,Vilcún,Mujer,10.8
9120,Villarrica,Hombre,11.6
9120,Villarrica,Mujer,11.8
9121,Cholchol,Hombre,9.6
9121,Cholchol,Mujer,9.9
9201,Angol,Hombre,11
9201,Angol,Mujer,11.3
9202,Collipulli,Hombre,9.8
9202,Collipulli,Mujer,10
9203,Curacautín,Hombre,10.5
9203,Curacautín,Mujer,10.7
9204,Ercilla,Hombre,9.5
9204,Ercilla,Mujer,9.5
9205,Lonquimay,Hombre,9.6
9205,Lonquimay,Mujer,9.6
9206,Los Sauces,Hombre,9.1
9206,Los Sauces,Mujer,9.6
9207,Lumaco,Hombre,8.6
9207,Lumaco,Mujer,8.7
9208,Purén,Hombre,9.5
9208,Purén,Mujer,9.9
9209,Renaico,Hombre,9.9
9209,Renaico,Mujer,10.3
9210,Traiguén,Hombre,10
9210,Traiguén,Mujer,10.3
9211,Victoria,Hombre,10.9
9211,Victoria,Mujer,11
14101,Valdivia,Hombre,12.7
14101,Valdivia,Mujer,12.7
14102,Corral,Hombre,10
14102,Corral,Mujer,10.2
14103,Lanco,Hombre,10.7
14103,Lanco,Mujer,10.8
14104,Los Lagos,Hombre,10.3
14104,Los Lagos,Mujer,10.3
14105,Máfil,Hombre,10.7
14105,Máfil,Mujer,10.8
14106,Mariquina,Hombre,10.5
14106,Mariquina,Mujer,10.7
14107,Paillaco,Hombre,10.2
14107,Paillaco,Mujer,10.4
14108,Panguipulli,Hombre,10.2
14108,Panguipulli,Mujer,10.2
14201,La Unión,Hombre,10.8
14201,La Unión,Mujer,11
14202,Futrono,Hombre,10.1
14202,Futrono,Mujer,10.2
14203,Lago Ranco,Hombre,9.7
14203,Lago Ranco,Mujer,9.9
14204,Río Bueno,Hombre,10.3
14204,Río Bueno,Mujer,10.5
10101,Puerto Montt,Hombre,12.1
10101,Puerto Montt,Mujer,12.1
10102,Calbuco,Hombre,9.9
10102,Calbuco,Mujer,10
10103,Cochamó,Hombre,9.6
10103,Cochamó,Mujer,10.1
10104,Fresia,Hombre,9.5
10104,Fresia,Mujer,9.7
10105,Frutillar,Hombre,11.1
10105,Frutillar,Mujer,11.1
10106,Los Muermos,Hombre,9.4
10106,Los Muermos,Mujer,9.7
10107,Llanquihue,Hombre,11
10107,Llanquihue,Mujer,11
10108,Maullín,Hombre,9.6
10108,Maullín,Mujer,9.8
10109,Puerto Varas,Hombre,13
10109,Puerto Varas,Mujer,12.9
10201,Castro,Hombre,11.6
10201,Castro,Mujer,11.5
10202,Ancud,Hombre,10.7
10202,Ancud,Mujer,11
10203,Chonchi,Hombre,10.4
10203,Chonchi,Mujer,10.4
10204,Curaco de Vélez,Hombre,10.2
10204,Curaco de Vélez,Mujer,10.1
10205,Dalcahue,Hombre,10.2
10205,Dalcahue,Mujer,10.3
10206,Puqueldón,Hombre,9.9
10206,Puqueldón,Mujer,9.3
10207,Queilén,Hombre,9.5
10207,Queilén,Mujer,9.6
10208,Quellón,Hombre,10.1
10208,Quellón,Mujer,10.3
10209,Quemchi,Hombre,9.4
10209,Quemchi,Mujer,9.6
10210,Quinchao,Hombre,9.9
10210,Quinchao,Mujer,9.8
10301,Osorno,Hombre,11.9
10301,Osorno,Mujer,11.8
10302,Puerto Octay,Hombre,10
10302,Puerto Octay,Mujer,10.2
10303,Purranque,Hombre,10.2
10303,Purranque,Mujer,10.3
10304,Puyehue,Hombre,10.1
10304,Puyehue,Mujer,10.3
10305,Río Negro,Hombre,10.3
10305,Río Negro,Mujer,10.3
10306,San Juan de la Costa,Hombre,8.5
10306,San Juan de la Costa,Mujer,8.7
10307,San Pablo,Hombre,10
10307,San Pablo,Mujer,10.3
10401,Chaitén,Hombre,10.3
10401,Chaitén,Mujer,10.6
